repository	commit
psf/requests	5460f467b02e49471c0fd6cfc9ca0adab6351f98
pallets/flask	d318b683471101618febed18996405ad26462110
pytest-dev/pytest	51e9a9f148cd2509a31e3fa0d2b1b3204c2b0dd7
pydantic/pydantic	27f473c24ed63a475903d8289c84fb81987f04e9
fastapi/fastapi	50113da16fec53b66b80d75e80a89296de4fa5a5
psf/black	8947c48ef2077c3a301b03c1e814dc2e3f78436e
